,Point-of-Sale_ID,week,Units
23687,119,2015-12-28,1007.0
23486,118,2015-12-28,1116.0
23285,117,2015-12-28,1349.0
23084,116,2015-12-28,595.0
22883,115,2015-12-28,1345.0
22682,114,2015-12-28,758.0
22481,113,2015-12-28,1009.0
22280,112,2015-12-28,1193.0
22079,111,2015-12-28,1076.0
19667,99,2015-12-28,1006.0
21878,110,2015-12-28,863.0
5226,27,2015-12-28,1352.0
21476,108,2015-12-28,592.0
21275,107,2015-12-28,1000.0
21074,106,2015-12-28,1138.0
20873,105,2015-12-28,276.0
20672,104,2015-12-28,851.0
20471,103,2015-12-28,1970.0
20270,102,2015-12-28,1181.0
20069,101,2015-12-28,699.0
21677,109,2015-12-28,742.0
23888,120,2015-12-28,1161.0
15276,77,2015-12-28,1195.0
14874,75,2015-12-28,859.0
10251,52,2015-12-28,1449.0
10050,51,2015-12-28,622.0
6231,32,2015-12-28,1434.0
9849,50,2015-12-28,1071.0
9648,49,2015-12-28,1799.0
9447,48,2015-12-28,1532.0
9246,47,2015-12-28,361.0
9045,46,2015-12-28,629.0
8844,45,2015-12-28,1300.0
10452,53,2015-12-28,1089.0
8643,44,2015-12-28,1330.0
8241,42,2015-12-28,1707.0
8040,41,2015-12-28,1129.0
7839,40,2015-12-28,746.0
7638,39,2015-12-28,647.0
6432,33,2015-12-28,475.0
7437,38,2015-12-28,604.0
7236,37,2015-12-28,1516.0
7035,36,2015-12-28,693.0
6834,35,2015-12-28,838.0
8442,43,2015-12-28,1335.0
15075,76,2015-12-28,682.0
10653,54,2015-12-28,919.0
11055,56,2015-12-28,1064.0
14673,74,2015-12-28,1088.0
5829,30,2015-12-28,1197.0
14472,73,2015-12-28,1373.0
14271,72,2015-12-28,1696.0
14070,71,2015-12-28,962.0
13869,70,2015-12-28,506.0
13668,69,2015-12-28,1336.0
13467,68,2015-12-28,575.0
13266,67,2015-12-28,1210.0
10854,55,2015-12-28,507.0
13065,66,2015-12-28,1070.0
12663,64,2015-12-28,1690.0
12462,63,2015-12-28,1199.0
6030,31,2015-12-28,650.0
12261,62,2015-12-28,1431.0
12060,61,2015-12-28,1579.0
11859,60,2015-12-28,1109.0
11658,59,2015-12-28,1221.0
11457,58,2015-12-28,972.0
11256,57,2015-12-28,1342.0
12864,65,2015-12-28,1547.0
5025,26,2015-12-28,912.0
24089,121,2015-12-28,681.0
24290,122,2015-12-28,906.0
37154,186,2015-12-28,469.0
36953,185,2015-12-28,1148.0
36752,184,2015-12-28,845.0
36551,183,2015-12-28,457.0
36350,182,2015-12-28,895.0
36149,181,2015-12-28,855.0
35948,180,2015-12-28,1109.0
35747,179,2015-12-28,459.0
4020,21,2015-12-28,628.0
37355,187,2015-12-28,337.0
35546,178,2015-12-28,314.0
35144,176,2015-12-28,600.0
34943,175,2015-12-28,376.0
34742,174,2015-12-28,414.0
34541,173,2015-12-28,456.0
34340,172,2015-12-28,944.0
34139,171,2015-12-28,462.0
33938,170,2015-12-28,443.0
33737,169,2015-12-28,613.0
33536,168,2015-12-28,810.0
35345,177,2015-12-28,212.0
33335,167,2015-12-28,204.0
37556,188,2015-12-28,768.0
37958,190,2015-12-28,933.0
41576,208,2015-12-28,1001.0
41375,207,2015-12-28,1014.0
41174,206,2015-12-28,1184.0
40973,205,2015-12-28,608.0
40772,204,2015-12-28,860.0
40571,203,2015-12-28,487.0
40370,202,2015-12-28,745.0
3618,19,2015-12-28,1172.0
40169,201,2015-12-28,1185.0
37757,189,2015-12-28,586.0
39968,200,2015-12-28,394.0
39566,198,2015-12-28,625.0
39365,197,2015-12-28,561.0
39164,196,2015-12-28,1642.0
38963,195,2015-12-28,491.0
38762,194,2015-12-28,1041.0
38561,193,2015-12-28,1086.0
38360,192,2015-12-28,795.0
38159,191,2015-12-28,512.0
3819,20,2015-12-28,528.0
39767,199,2015-12-28,688.0
4221,22,2015-12-28,1084.0
33134,166,2015-12-28,594.0
32933,165,2015-12-28,568.0
28109,141,2015-12-28,672.0
27908,140,2015-12-28,1092.0
27707,139,2015-12-28,966.0
27506,138,2015-12-28,896.0
27305,137,2015-12-28,820.0
27104,136,2015-12-28,1301.0
26903,135,2015-12-28,1038.0
26702,134,2015-12-28,314.0
26501,133,2015-12-28,1087.0
28310,142,2015-12-28,897.0
26300,132,2015-12-28,947.0
26099,131,2015-12-28,1145.0
25898,130,2015-12-28,795.0
25697,129,2015-12-28,496.0
25496,128,2015-12-28,709.0
25295,127,2015-12-28,517.0
25094,126,2015-12-28,903.0
24893,125,2015-12-28,950.0
24692,124,2015-12-28,558.0
24491,123,2015-12-28,720.0
4824,25,2015-12-28,862.0
28511,143,2015-12-28,579.0
4623,24,2015-12-28,1408.0
28712,144,2015-12-28,806.0
32732,164,2015-12-28,638.0
32531,163,2015-12-28,943.0
32330,162,2015-12-28,545.0
32129,161,2015-12-28,1181.0
31928,160,2015-12-28,591.0
31727,159,2015-12-28,775.0
31526,158,2015-12-28,400.0
31325,157,2015-12-28,296.0
31124,156,2015-12-28,746.0
4422,23,2015-12-28,679.0
30923,155,2015-12-28,408.0
30722,154,2015-12-28,521.0
30521,153,2015-12-28,290.0
30320,152,2015-12-28,424.0
30119,151,2015-12-28,1629.0
29918,150,2015-12-28,807.0
29717,149,2015-12-28,806.0
29516,148,2015-12-28,932.0
29315,147,2015-12-28,877.0
29114,146,2015-12-28,1266.0
28913,145,2015-12-28,534.0
41978,210,2015-12-28,1447.0
77756,388,2015-12-28,1578.0
44591,223,2015-12-28,771.0
6633,34,2015-12-28,782.0
77957,389,2015-12-28,1341.0
80972,404,2015-12-28,1452.0
78359,391,2015-12-28,1379.0
81977,409,2015-12-28,773.0
81575,407,2015-12-28,1173.0
78560,392,2015-12-28,1188.0
80369,401,2015-12-28,720.0
81374,406,2015-12-28,820.0
79364,396,2015-12-28,599.0
78962,394,2015-12-28,1274.0
81173,405,2015-12-28,1119.0
79766,398,2015-12-28,1171.0
80771,403,2015-12-28,484.0
82178,410,2015-12-28,2081.0
80570,402,2015-12-28,699.0
78761,393,2015-12-28,1247.0
78158,390,2015-12-28,1321.0
81776,408,2015-12-28,701.0
79565,397,2015-12-28,722.0
79163,395,2015-12-28,348.0
201,2,2015-12-28,748.0
79967,399,2015-12-28,1194.0
80168,400,2015-12-28,458.0
80169,400,2016-01-04,2019.0
36954,185,2016-01-04,3432.0
2815,15,2016-01-04,2879.0
36753,184,2016-01-04,2725.0
24894,125,2016-01-04,3082.0
66099,330,2016-01-04,1609.0
73335,366,2016-01-04,962.0
49818,249,2016-01-04,2284.0
1408,8,2016-01-04,4044.0
50019,250,2016-01-04,4044.0
36552,183,2016-01-04,1385.0
19096,96,2016-01-04,1725.0
36351,182,2016-01-04,2911.0
25095,126,2016-01-04,2818.0
50220,251,2016-01-04,3952.0
73536,367,2016-01-04,4743.0
82179,410,2016-01-04,5320.0
79767,398,2016-01-04,4280.0
50421,252,2016-01-04,5401.0
65898,329,2016-01-04,3784.0
12061,61,2016-01-04,3833.0
36150,181,2016-01-04,2496.0
8443,43,2016-01-04,3879.0
18895,95,2016-01-04,2209.0
42180,211,2016-01-04,1324.0
35949,180,2016-01-04,3566.0
50622,253,2016-01-04,1416.0
11860,60,2016-01-04,3646.0
3418,18,2016-01-04,2161.0
49617,248,2016-01-04,1952.0
49416,247,2016-01-04,913.0
48210,241,2016-01-04,2412.0
8845,45,2016-01-04,3672.0
24291,122,2016-01-04,2309.0
66903,334,2016-01-04,3580.0
19668,99,2016-01-04,3103.0
72933,364,2016-01-04,2552.0
48411,242,2016-01-04,2280.0
48612,243,2016-01-04,559.0
19467,98,2016-01-04,1643.0
37758,189,2016-01-04,1862.0
24492,123,2016-01-04,2397.0
66702,333,2016-01-04,3566.0
48813,244,2016-01-04,1727.0
37557,188,2016-01-04,2358.0
11659,59,2016-01-04,3687.0
49014,245,2016-01-04,2877.0
66501,332,2016-01-04,1148.0
805,5,2016-01-04,2155.0
49215,246,2016-01-04,1599.0
37356,187,2016-01-04,1096.0
19266,97,2016-01-04,1298.0
37155,186,2016-01-04,1649.0
5428,28,2016-01-04,1739.0
8644,44,2016-01-04,3728.0
10051,51,2016-01-04,2406.0
24693,124,2016-01-04,1545.0
73134,365,2016-01-04,997.0
66300,331,2016-01-04,2601.0
73737,368,2016-01-04,2717.0
25296,127,2016-01-04,1715.0
65697,328,2016-01-04,1795.0
25698,129,2016-01-04,1648.0
64893,324,2016-01-04,3325.0
2614,14,2016-01-04,2411.0
18091,91,2016-01-04,919.0
34944,175,2016-01-04,1995.0
42582,213,2016-01-04,2283.0
52029,260,2016-01-04,5309.0
6232,32,2016-01-04,3659.0
52230,261,2016-01-04,1818.0
8041,41,2016-01-04,3615.0
74541,372,2016-01-04,2436.0
64692,323,2016-01-04,3206.0
6031,31,2016-01-04,1887.0
34743,174,2016-01-04,1404.0
52431,262,2016-01-04,2282.0
12463,63,2016-01-04,3214.0
34542,173,2016-01-04,1789.0
17890,90,2016-01-04,2051.0
81777,408,2016-01-04,2332.0
52632,263,2016-01-04,3367.0
74742,373,2016-01-04,855.0
64491,322,2016-01-04,2311.0
34341,172,2016-01-04,2960.0
52833,264,2016-01-04,2786.0
34140,171,2016-01-04,1358.0
26100,131,2016-01-04,3648.0
25899,130,2016-01-04,2494.0
74340,371,2016-01-04,1680.0
22281,112,2016-01-04,3851.0
35145,176,2016-01-04,1722.0
50823,254,2016-01-04,5046.0
70119,350,2016-01-04,2502.0
18694,94,2016-01-04,1259.0
35748,179,2016-01-04,1453.0
22482,113,2016-01-04,3054.0
80571,402,2016-01-04,1984.0
4021,21,2016-01-04,2161.0
51024,255,2016-01-04,2301.0
73938,369,2016-01-04,1412.0
65496,327,2016-01-04,2534.0
42381,212,2016-01-04,2960.0
12262,62,2016-01-04,4748.0
25497,128,2016-01-04,2502.0
51225,256,2016-01-04,2517.0
35547,178,2016-01-04,895.0
18493,93,2016-01-04,2113.0
51426,257,2016-01-04,4223.0
70320,351,2016-01-04,3065.0
78159,390,2016-01-04,3376.0
74139,370,2016-01-04,1555.0
65295,326,2016-01-04,1604.0
78762,393,2016-01-04,3547.0
51627,258,2016-01-04,2148.0
18292,92,2016-01-04,6729.0
35346,177,2016-01-04,1232.0
51828,259,2016-01-04,1366.0
65094,325,2016-01-04,2965.0
3820,20,2016-01-04,1624.0
11458,58,2016-01-04,2747.0
37959,190,2016-01-04,2418.0
67104,335,2016-01-04,1952.0
44793,224,2016-01-04,1461.0
68913,344,2016-01-04,1058.0
40572,203,2016-01-04,1503.0
10654,54,2016-01-04,3042.0
40371,202,2016-01-04,2162.0
3217,17,2016-01-04,4838.0
44994,225,2016-01-04,1449.0
9649,49,2016-01-04,4566.0
41778,209,2016-01-04,4817.0
43185,216,2016-01-04,2484.0
69918,349,2016-01-04,2613.0
71325,356,2016-01-04,4923.0
21477,108,2016-01-04,1941.0
68712,343,2016-01-04,3644.0
21276,107,2016-01-04,3158.0
45195,226,2016-01-04,2927.0
3619,19,2016-01-04,2899.0
45396,227,2016-01-04,2121.0
68511,342,2016-01-04,3558.0
40170,201,2016-01-04,3531.0
21075,106,2016-01-04,3827.0
71526,357,2016-01-04,3209.0
22683,114,2016-01-04,2070.0
45597,228,2016-01-04,1932.0
23487,118,2016-01-04,3461.0
10855,55,2016-01-04,1874.0
23286,117,2016-01-04,3911.0
71124,355,2016-01-04,3267.0
78360,391,2016-01-04,3911.0
44592,223,2016-01-04,2509.0
69717,348,2016-01-04,3964.0
43587,218,2016-01-04,2745.0
10252,52,2016-01-04,3263.0
1006,6,2016-01-04,2055.0
41376,207,2016-01-04,3118.0
43386,217,2016-01-04,2874.0
22884,115,2016-01-04,3589.0
43788,219,2016-01-04,2977.0
70722,353,2016-01-04,2179.0
69516,347,2016-01-04,5515.0
21678,109,2016-01-04,2381.0
21879,110,2016-01-04,3250.0
5227,27,2016-01-04,3786.0
41175,206,2016-01-04,3047.0
202,2,2016-01-04,2301.0
43989,220,2016-01-04,1298.0
9850,50,2016-01-04,2900.0
69315,346,2016-01-04,2956.0
70923,354,2016-01-04,1471.0
44190,221,2016-01-04,747.0
10453,53,2016-01-04,2376.0
44391,222,2016-01-04,1870.0
40974,205,2016-01-04,2178.0
23085,116,2016-01-04,1958.0
6634,34,2016-01-04,2238.0
69114,345,2016-01-04,3130.0
40773,204,2016-01-04,2641.0
45798,229,2016-01-04,1824.0
39969,200,2016-01-04,1041.0
41979,210,2016-01-04,4583.0
1207,7,2016-01-04,1631.0
42984,215,2016-01-04,3895.0
11257,57,2016-01-04,4204.0
72330,361,2016-01-04,3462.0
20271,102,2016-01-04,3784.0
3016,16,2016-01-04,3992.0
5026,26,2016-01-04,2903.0
22080,111,2016-01-04,3537.0
67506,337,2016-01-04,1413.0
38562,193,2016-01-04,3497.0
9046,46,2016-01-04,2132.0
80370,401,2016-01-04,3131.0
79968,399,2016-01-04,4534.0
47406,237,2016-01-04,902.0
72531,362,2016-01-04,5525.0
20070,101,2016-01-04,2208.0
38361,192,2016-01-04,2884.0
17689,89,2016-01-04,2471.0
24090,121,2016-01-04,1777.0
67305,336,2016-01-04,1103.0
47607,238,2016-01-04,3291.0
47808,239,2016-01-04,2747.0
38160,191,2016-01-04,1478.0
19869,100,2016-01-04,4322.0
48009,240,2016-01-04,3330.0
70521,352,2016-01-04,2026.0
42783,214,2016-01-04,1862.0
72732,363,2016-01-04,1702.0
38763,194,2016-01-04,3377.0
41577,208,2016-01-04,3046.0
47205,236,2016-01-04,1954.0
38964,195,2016-01-04,1838.0
9448,48,2016-01-04,4746.0
20874,105,2016-01-04,943.0
81576,407,2016-01-04,4050.0
71727,358,2016-01-04,4026.0
45999,230,2016-01-04,1833.0
39768,199,2016-01-04,2058.0
68310,341,2016-01-04,2901.0
78561,392,2016-01-04,3741.0
46200,231,2016-01-04,3705.0
39567,198,2016-01-04,1752.0
23688,119,2016-01-04,3267.0
20673,104,2016-01-04,2888.0
46401,232,2016-01-04,2981.0
71928,359,2016-01-04,6016.0
68109,340,2016-01-04,2426.0
39366,197,2016-01-04,1980.0
81375,406,2016-01-04,2167.0
46602,233,2016-01-04,2261.0
11056,56,2016-01-04,3457.0
39165,196,2016-01-04,5135.0
9247,47,2016-01-04,1548.0
23889,120,2016-01-04,3151.0
20472,103,2016-01-04,6182.0
72129,360,2016-01-04,5826.0
67908,339,2016-01-04,2466.0
46803,234,2016-01-04,1142.0
47004,235,2016-01-04,3903.0
67707,338,2016-01-04,2915.0
64290,321,2016-01-04,2350.0
8242,42,2016-01-04,4611.0
59064,295,2016-01-04,1627.0
30321,152,2016-01-04,1311.0
55245,276,2016-01-04,4160.0
4423,23,2016-01-04,2006.0
27909,140,2016-01-04,3303.0
61074,305,2016-01-04,2040.0
29517,148,2016-01-04,2774.0
75747,378,2016-01-04,2144.0
13669,69,2016-01-04,3213.0
14875,75,2016-01-04,2618.0
55446,277,2016-01-04,4181.0
16081,81,2016-01-04,1543.0
63084,315,2016-01-04,1482.0
61476,307,2016-01-04,791.0
13267,67,2016-01-04,3428.0
2011,11,2016-01-04,3300.0
32331,162,2016-01-04,1859.0
58260,291,2016-01-04,1969.0
31125,156,2016-01-04,2284.0
27708,139,2016-01-04,3148.0
16684,84,2016-01-04,2392.0
6835,35,2016-01-04,2252.0
55044,275,2016-01-04,3708.0
29316,147,2016-01-04,2553.0
77958,389,2016-01-04,3319.0
13066,66,2016-01-04,2644.0
76551,382,2016-01-04,2974.0
54843,274,2016-01-04,2148.0
75546,377,2016-01-04,2041.0
57054,285,2016-01-04,2660.0
59265,296,2016-01-04,4354.0
32532,163,2016-01-04,2639.0
79164,395,2016-01-04,1490.0
32733,164,2016-01-04,1525.0
81978,409,2016-01-04,2399.0
80772,403,2016-01-04,1566.0
81174,405,2016-01-04,4034.0
26703,134,2016-01-04,1291.0
77556,387,2016-01-04,3616.0
56853,284,2016-01-04,2837.0
63285,316,2016-01-04,1606.0
16885,85,2016-01-04,2595.0
55647,278,2016-01-04,2759.0
78963,394,2016-01-04,3011.0
28110,141,2016-01-04,1981.0
76350,381,2016-01-04,1871.0
13468,68,2016-01-04,1752.0
58461,292,2016-01-04,8305.0
27306,137,2016-01-04,2693.0
7438,38,2016-01-04,1712.0
7036,36,2016-01-04,2213.0
31728,159,2016-01-04,2547.0
76149,380,2016-01-04,2973.0
62682,313,2016-01-04,1346.0
58662,293,2016-01-04,1485.0
27105,136,2016-01-04,3872.0
16282,82,2016-01-04,2327.0
1810,10,2016-01-04,1375.0
56652,283,2016-01-04,4450.0
77154,385,2016-01-04,1987.0
79365,396,2016-01-04,1758.0
62481,312,2016-01-04,2066.0
56451,282,2016-01-04,5224.0
31326,157,2016-01-04,973.0
15076,76,2016-01-04,2468.0
29919,150,2016-01-04,1888.0
56250,281,2016-01-04,1967.0
61275,306,2016-01-04,2611.0
32130,161,2016-01-04,3659.0
55848,279,2016-01-04,2529.0
26904,135,2016-01-04,3255.0
62280,311,2016-01-04,1896.0
75948,379,2016-01-04,2203.0
62883,314,2016-01-04,2330.0
53034,265,2016-01-04,2096.0
77355,386,2016-01-04,1404.0
30120,151,2016-01-04,3584.0
80973,404,2016-01-04,4610.0
16483,83,2016-01-04,1653.0
56049,280,2016-01-04,6382.0
2212,12,2016-01-04,2420.0
29718,149,2016-01-04,2276.0
58863,294,2016-01-04,1757.0
14071,71,2016-01-04,3876.0
15277,77,2016-01-04,3347.0
31929,160,2016-01-04,1981.0
28311,142,2016-01-04,2775.0
63486,317,2016-01-04,1411.0
32934,165,2016-01-04,1765.0
59466,297,2016-01-04,3897.0
53436,267,2016-01-04,2117.0
30522,153,2016-01-04,1135.0
75144,375,2016-01-04,1071.0
61878,309,2016-01-04,1475.0
53637,268,2016-01-04,4667.0
59868,299,2016-01-04,2987.0
4825,25,2016-01-04,2311.0
28713,144,2016-01-04,2283.0
63888,319,2016-01-04,972.0
57858,289,2016-01-04,3371.0
13870,70,2016-01-04,1430.0
5830,30,2016-01-04,3569.0
7237,37,2016-01-04,5307.0
33336,167,2016-01-04,695.0
53838,269,2016-01-04,3017.0
26301,132,2016-01-04,2381.0
60672,303,2016-01-04,2142.0
77757,388,2016-01-04,4171.0
33537,168,2016-01-04,2255.0
79566,397,2016-01-04,2151.0
17488,88,2016-01-04,1602.0
30723,154,2016-01-04,1679.0
57657,288,2016-01-04,4028.0
7840,40,2016-01-04,2205.0
74943,374,2016-01-04,3646.0
60270,301,2016-01-04,1587.0
12664,64,2016-01-04,5450.0
15679,79,2016-01-04,3599.0
4624,24,2016-01-04,3850.0
12865,65,2016-01-04,3997.0
14473,73,2016-01-04,4009.0
33939,170,2016-01-04,1856.0
76752,383,2016-01-04,5718.0
60471,302,2016-01-04,2103.0
61677,308,2016-01-04,2871.0
60069,300,2016-01-04,1679.0
33738,169,2016-01-04,1668.0
64089,320,2016-01-04,844.0
57456,287,2016-01-04,4266.0
53235,266,2016-01-04,2446.0
17287,87,2016-01-04,3290.0
403,3,2016-01-04,3064.0
57255,286,2016-01-04,2212.0
30924,155,2016-01-04,1583.0
15478,78,2016-01-04,5259.0
17086,86,2016-01-04,1809.0
29115,146,2016-01-04,3292.0
14272,72,2016-01-04,5376.0
604,4,2016-01-04,4017.0
76953,384,2016-01-04,1458.0
33135,166,2016-01-04,1885.0
60873,304,2016-01-04,3685.0
2413,13,2016-01-04,3697.0
5629,29,2016-01-04,3518.0
1,1,2016-01-04,3561.0
26502,133,2016-01-04,2893.0
54441,272,2016-01-04,6344.0
58059,290,2016-01-04,1865.0
62079,310,2016-01-04,1186.0
54642,273,2016-01-04,4323.0
54240,271,2016-01-04,2755.0
14674,74,2016-01-04,3446.0
27507,138,2016-01-04,2970.0
28914,145,2016-01-04,2086.0
54039,270,2016-01-04,2324.0
7639,39,2016-01-04,1819.0
75345,376,2016-01-04,1402.0
28512,143,2016-01-04,1973.0
4222,22,2016-01-04,3302.0
6433,33,2016-01-04,1740.0
15880,80,2016-01-04,4086.0
31527,158,2016-01-04,1208.0
63687,318,2016-01-04,1575.0
59667,298,2016-01-04,1589.0
1609,9,2016-01-04,2416.0
15479,78,2016-01-11,5102.0
58462,292,2016-01-11,7508.0
58060,290,2016-01-11,1754.0
45598,228,2016-01-11,1709.0
46201,231,2016-01-11,3870.0
15278,77,2016-01-11,3218.0
61477,307,2016-01-11,826.0
61678,308,2016-01-11,2600.0
13871,70,2016-01-11,1328.0
68311,341,2016-01-11,2649.0
57859,289,2016-01-11,2929.0
20875,105,2016-01-11,965.0
81577,407,2016-01-11,3465.0
10856,55,2016-01-11,1720.0
58261,291,2016-01-11,1921.0
1208,7,2016-01-11,1477.0
20674,104,2016-01-11,2813.0
45799,229,2016-01-11,1577.0
